,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,52,XRP,XRP,xrp,1357,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55960868753.0,99987409084.0,False,,6,,,,2024-07-29T19:49:00.000Z,0.6059956828572031,1141821981.029286,6.7412,0.37870542,0.48615133,-2.10396424,27.87046117,15.85645677,22.05295302,33912044873.256554,1.4046,60599568285.72,,2024-07-29T19:49:00.000Z,,,,,,2024-07-30 02:50:06.868257
6,3408,USDC,USDC,usd-coin,21205,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,33873806080.487434,33873806080.487434,False,,7,,,,2024-07-29T19:48:00.000Z,1.0001178603721477,6463102896.925226,36.2144,0.00019028,0.01554292,0.00332159,0.0253938,-0.03563273,0.02006446,33877798459.87814,1.4031,33877798459.88,,2024-07-29T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-30 02:50:06.868257
7,74,Dogecoin,DOGE,dogecoin,1028,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145318126383.70517,145318126383.70517,True,,8,,,,2024-07-29T19:49:00.000Z,0.12954592710138657,801499362.2147397,-22.3768,0.09538632,-0.34926096,-8.27240763,5.75668607,-19.82054849,-1.51151471,18825371407.01355,0.7797,18825371407.01,,2024-07-29T19:49:00.000Z,,,,,,2024-07-30 02:50:06.868257
8,11419,Toncoin,TON,toncoin,478,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2516623839.1811457,5109744546.1606655,True,,9,3414166606.0,22778032868.829437,,2024-07-29T19:48:00.000Z,6.671623121378933,195320277.90899283,30.0935,0.37229474,1.12131012,-4.80656741,-12.5038727,2.72127041,32.95160585,16789965793.29435,0.6954,34090289858.51,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
9,2010,Cardano,ADA,cardano,1217,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35907757232.225,37089410845.922,False,,10,,,,2024-07-29T19:48:00.000Z,0.4093754859321144,317167497.9322483,-29.5563,-0.37729804,-0.28623061,-4.95092562,5.87108441,-9.38015048,-5.71989999,14699755565.674505,0.6088,18421896866.95,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
10,1958,TRON,TRX,tron,1002,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87052364483.6797,87052372228.19258,True,,11,71659659264.0,9901986183.61051,,2024-07-29T19:48:00.000Z,0.1381807600721459,376356392.83998084,65.1378,0.17470942,-0.34531458,3.84274907,9.79730728,23.36334418,16.95797945,12028961890.432339,0.4982,12028962960.58,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
11,5805,Avalanche,AVAX,avalanche,756,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394867497.9720623,444213867.9720623,False,,12,,,,2024-07-29T19:48:00.000Z,27.5091687965552,341212569.000547,43.0745,0.00950689,-0.11193595,-14.4964345,-0.9894148,-24.8697687,-14.96045477,10862476653.98688,0.4499,19689652326.89,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
12,5994,Shiba Inu,SHIB,shiba-inu,849,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270540915465.4,589519103697517.6,False,,13,,,,2024-07-29T19:48:00.000Z,1.6775240753557137e-05,214709670.11290383,16.0448,0.38418944,-0.23646833,-5.71698714,-1.43463328,-35.89953624,-23.73556789,9885155192.835773,0.4094,9889324893.35,,2024-07-29T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-30 02:50:06.868257
13,1831,Bitcoin Cash,BCH,bitcoin-cash,904,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19739750.0,19739750.0,False,,14,,,,2024-07-29T19:48:00.000Z,445.7401707460346,559506545.3859438,41.2518,0.48936825,6.64123989,12.57603909,16.47889755,-5.01631989,4.04060863,8798799535.484037,0.3644,9360543585.67,,2024-07-29T19:48:00.000Z,,,,,,2024-07-30 02:50:06.868257
14,1975,Chainlink,LINK,chainlink,1820,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-29T19:48:00.000Z,13.615977802086947,253773670.9715655,39.0358,0.38156222,1.89259278,-3.99385408,0.14733806,-24.71240763,5.07697835,8279875699.1348715,0.343,13615977802.09,,2024-07-29T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-30 02:50:06.868257
0,1,Bitcoin,BTC,bitcoin,11617,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19732915.0,19732915.0,False,,1,,,,2024-07-29T19:54:00.000Z,67327.37373231296,39064347223.35219,32.0657,-0.06051959,-1.21956304,-1.28690782,10.45690014,-1.75445609,12.8462397,1328565343032.9644,55.0876,1413874848378.57,,2024-07-29T19:54:00.000Z,,,,,,2024-07-30 02:54:52.266013
1,1027,Ethereum,ETH,ethereum,9177,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228315.01960197,120228315.01960197,True,,2,,,,2024-07-29T19:53:00.000Z,3309.48666525048,17121196973.55743,40.7168,-0.01265731,1.0578313,-5.40934093,-2.12129761,-12.03923693,12.69739281,397894005342.90674,16.493,397894005342.91,,2024-07-29T19:53:00.000Z,,,,,,2024-07-30 02:54:52.266013
2,825,Tether USDt,USDT,tether,92899,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,114417852141.83315,117068083204.49164,True,,3,,,,2024-07-29T19:53:00.000Z,1.0002713816600546,61088315649.10108,30.5599,0.04987194,0.03835221,-0.01903,0.19367944,0.03258485,0.15580359,114448903048.48727,4.744,117099853335.25,,2024-07-29T19:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-30 02:54:52.266013
3,5426,Solana,SOL,solana,709,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464827146.8523454,581199459.8202066,True,,4,,,,2024-07-29T19:53:00.000Z,186.71445149948042,3435772039.927536,34.5618,0.39225672,1.01495163,2.02684071,32.06427228,10.93221663,52.57992883,86789945766.60411,3.5975,108518338352.12,,2024-07-29T19:53:00.000Z,,,,,,2024-07-30 02:54:52.266013
4,1839,BNB,BNB,bnb,2200,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145867524.8423949,145867524.8423949,False,,5,,,,2024-07-29T19:53:00.000Z,578.0487228666987,1821633629.1129584,12.7575,0.03072732,-1.00784539,-3.00248982,1.30111339,-3.06997149,1.72884859,84318536442.8728,3.496,84318536442.87,,2024-07-29T19:53:00.000Z,,,,,,2024-07-30 02:54:52.266013
